Date of Sale (dd/mm/yyyy),Address,Postal Code,County, Price ,Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
04/01/2018,"9 THE PADDOCKS CRESCENT, ADAMSTOWN, LUCAN",,Dublin,240000.00,Yes,No,Second-Hand Dwelling house /Apartment,
04/01/2018,"90 MOUNT GARRETT PARK, TYRRELSTOWN, DUBLIN 15",Dublin 15,Dublin,175000.00,No,No,Second-Hand Dwelling house /Apartment,
04/01/2018,"Apt 89 Eustace Court, Cualanor, Upper Glenageary Road",,Dublin,422907.49,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
04/01/2018,"APT 9 GROUND FLOOR, TIMBER MILL, ARTANE DUBLIN 5",Dublin 5,Dublin,249000.00,No,No,Second-Hand Dwelling house /Apartment,
04/01/2018,"MARYMOUNT HOUSE, DARDISTOWN, CLOGHRAN",,Dublin,635000.00,No,No,Second-Hand Dwelling house /Apartment,
05/01/2018,"11 Hollywood Rath Park, Hollystown",Dublin 15,Dublin,341409.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
05/01/2018,"12 Grace Park way, Grace Park Wood, Grace Park Road",Dublin 9,Dublin,418502.20,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
05/01/2018,"12 rathbeale grove, swords",,Dublin,286343.00,No,Yes,New Dwelling house /Apartment,less than 38 sq metres
05/01/2018,"121 IVERAGH RD, GAELTACHT PARK, DUBLIN 9",Dublin 9,Dublin,193800.00,Yes,No,Second-Hand Dwelling house /Apartment,
05/01/2018,"14 MCCABE VILLAS, BOOTERSTOWN, CO DUBLIN",,Dublin,403000.00,No,No,Second-Hand Dwelling house /Apartment,
05/01/2018,"16 SPRINGBANK, SAGGART, DUBLIN",Dublin 24,Dublin,320000.00,No,No,Second-Hand Dwelling house /Apartment,
05/01/2018,"19 GLANDORE RD, DRUMCONDRA, DUBLIN CITY",Dublin 9,Dublin,375000.00,No,No,Second-Hand Dwelling house /Apartment,
05/01/2018,"19 GRANGEVIEW PLACE, GRANGEVIEW, CLONDALKIN DUBLIN 22",Dublin 22,Dublin,191000.00,No,No,Second-Hand Dwelling house /Apartment,
05/01/2018,"19 MOUNT PROSPECT DR, CLONTARF, DUBLIN 3",Dublin 3,Dublin,765000.00,No,No,Second-Hand Dwelling house /Apartment,
05/01/2018,"19 PARK HOUSE, BENSON ST, DUBLIN 2",Dublin 2,Dublin,410000.00,No,No,Second-Hand Dwelling house /Apartment,
05/01/2018,"2 SUNDALE PARADE, TALLAGHT, DUBLIN 24",Dublin 24,Dublin,255000.00,No,No,Second-Hand Dwelling house /Apartment,
05/01/2018,"21 CASTLEGRANGE DR, CLONSILLA, DUBLIN 15",Dublin 15,Dublin,300000.00,No,No,Second-Hand Dwelling house /Apartment,
05/01/2018,"21 DUNAWLEY DR, CLONDALKIN, DUBLIN 22",Dublin 22,Dublin,271000.00,No,No,Second-Hand Dwelling house /Apartment,
05/01/2018,"26 DERRYNANE GARDENS, BATH AVE, SANDYMOUNT",Dublin 4,Dublin,580000.00,No,No,Second-Hand Dwelling house /Apartment,
05/01/2018,"27 Hampton Gardens Avenue, Balbriggan",,Dublin,221194.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
05/01/2018,"33 HUNTSTOWN DRIVE, MULHUDDART, DUBLIN 15",Dublin 15,Dublin,261100.00,No,No,Second-Hand Dwelling house /Apartment,
05/01/2018,"33 RAVENSDALE DR, KIMMAGE, DUBLIN 12",Dublin 12,Dublin,500000.00,No,No,Second-Hand Dwelling house /Apartment,
05/01/2018,"39 SITRIC RD, STONEYBATTER, DUBLIN 7",Dublin 7,Dublin,335000.00,No,No,Second-Hand Dwelling house /Apartment,
05/01/2018,"39 The Green, The Paddocks, Hansfield",Dublin 15,Dublin,290748.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
05/01/2018,"4 THE CLOSE, WOODPARK, BALLINTEER DUBLIN 16",Dublin 16,Dublin,525000.00,No,No,Second-Hand Dwelling house /Apartment,
05/01/2018,"40 LARKFIELD VIEW, LUCAN, DUBLIN",,Dublin,273000.00,No,No,Second-Hand Dwelling house /Apartment,
05/01/2018,"43 LORCAN GROVE, SANTRY, DUBLIN 9",Dublin 9,Dublin,170000.00,Yes,No,Second-Hand Dwelling house /Apartment,
05/01/2018,"46 DUN EMER WAY LUSK, DUBLIN",,Dublin,193000.00,No,No,Second-Hand Dwelling house /Apartment,
05/01/2018,"5 HARBOUR VIEW, HOWTH, DUBLIN 13",Dublin 13,Dublin,50000.00,Yes,No,Second-Hand Dwelling house /Apartment,
05/01/2018,"6 ASHLEIGH COURT, CASTLEKNOCK, DUBLIN 15",Dublin 15,Dublin,281500.00,No,No,Second-Hand Dwelling house /Apartment,
05/01/2018,"6 DEERPARK LODGE, KILTIPPER, DUBLIN 24",Dublin 24,Dublin,156500.00,No,No,Second-Hand Dwelling house /Apartment,
05/01/2018,"60 GRIFFITH PARADE, BALLYGALL RD EAST, DUBLIN 11",Dublin 11,Dublin,280000.00,No,No,Second-Hand Dwelling house /Apartment,
05/01/2018,"619 CLONARD RD, KIMMAGE, DUBLIN 12",Dublin 12,Dublin,652000.00,No,No,Second-Hand Dwelling house /Apartment,
05/01/2018,"69 ROCKFIELD AVE, TERENURE, DUBLIN 12",Dublin 12,Dublin,545000.00,No,No,Second-Hand Dwelling house /Apartment,
05/01/2018,"8 GREAT COMMONS, LUSK VILLAGE, LUSK",,Dublin,231000.00,No,No,Second-Hand Dwelling house /Apartment,
05/01/2018,"83 B HEYTESBURY LANE, BALLSBRIDGE, DUBLIN 4",,Dublin,630000.00,No,No,Second-Hand Dwelling house /Apartment,
05/01/2018,"9 NEWTOWNSMITH, SANDYCOVE, DUBLIN",,Dublin,1300000.00,No,No,Second-Hand Dwelling house /Apartment,
05/01/2018,"9 POOLE ST, PIMBLICO, DUBLIN 8",Dublin 8,Dublin,120000.00,No,No,Second-Hand Dwelling house /Apartment,
05/01/2018,"APT 102, ROYAL CANAL COURT, ROYAL CANAL WAY DUBLIN 15",Dublin 15,Dublin,215000.00,No,No,Second-Hand Dwelling house /Apartment,
05/01/2018,"APT 12 SUTTON CASTLE, SHIELMARTIN ROAD, SUTTON",Dublin 13,Dublin,640000.00,No,No,Second-Hand Dwelling house /Apartment,
05/01/2018,"APT 4, 4 CHARLEMONT TERRACE, CROFTON RD",,Dublin,440000.00,No,No,Second-Hand Dwelling house /Apartment,
05/01/2018,"Apt. No. 12 Greenbank House, Cualanor  Uppr. Glenageary Road",,Dublin,268721.00,No,Yes,New Dwelling house /Apartment,less than 38 sq metres
05/01/2018,"Apt. No. 14 Greenbank House, Cualanor  Uppr. Glenageary Road",,Dublin,268721.00,No,Yes,New Dwelling house /Apartment,less than 38 sq metres
05/01/2018,"APT.2 -  ST STEEVENS GATE, ST. JAMES STREET, DUBLIN 8",,Dublin,245000.00,No,No,Second-Hand Dwelling house /Apartment,
06/01/2018,"72 BRACKEN HILL, SANDYFORD, DUBLIN 18",Dublin 18,Dublin,212500.00,No,No,Second-Hand Dwelling house /Apartment,
07/01/2018,"55 PARNELL SQUARE WEST, ROTUNDA, DUBLIN 1",,Dublin,554178.00,No,No,Second-Hand Dwelling house /Apartment,
07/01/2018,"APT 1, 6 BELVEDERE PLACE, DUBLIN 1",,Dublin,585911.00,No,No,Second-Hand Dwelling house /Apartment,
08/01/2018,"10 ROBERT ST, DUBLIN 8, DUBLIN",Dublin 8,Dublin,190000.00,No,No,Second-Hand Dwelling house /Apartment,
08/01/2018,"10 THE MOORINGS, PORTOBELLO HARBOUR, DUBLIN 8",Dublin 8,Dublin,285000.00,No,No,Second-Hand Dwelling house /Apartment,
08/01/2018,"108 WHEATFIELD RD, PALMERSTOWN, DUBLIN 20",Dublin 20,Dublin,230000.00,Yes,No,Second-Hand Dwelling house /Apartment,
08/01/2018,"11 ELTON COURT, SANDYCOVE, DUBLIN",,Dublin,750000.00,No,No,Second-Hand Dwelling house /Apartment,
08/01/2018,"12 ALEXANDRA WALK, PETER ST, DUBLIN 8",Dublin 8,Dublin,300000.00,No,No,Second-Hand Dwelling house /Apartment,
08/01/2018,"12 Beechwood Gate, Beechwood, Hansfield",Dublin 15,Dublin,301101.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
08/01/2018,"12 Hamilton Hill, Barnageeragh Cove, Skerries",,Dublin,378900.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
08/01/2018,"12 HIGH ST, BALBRIGGAN, DUBLIN",Dublin 15,Dublin,200000.00,No,No,Second-Hand Dwelling house /Apartment,
08/01/2018,"15 CROSTHWAITE, DUN LAOGHAIRE, PARK WEST",,Dublin,673875.00,No,No,Second-Hand Dwelling house /Apartment,
08/01/2018,"16A BALLSBRIDGE AVE, BALLSBRIDGE, DUBLIN",Dublin 4,Dublin,1260000.00,No,No,Second-Hand Dwelling house /Apartment,
08/01/2018,"19 DOWNPATRICK ROAD, CRUMLIN, DUBLIN 12",Dublin 12,Dublin,269000.00,No,No,Second-Hand Dwelling house /Apartment,
08/01/2018,"2 BEECH HOMES, TIVOLI RD, DUNLAOIRE",,Dublin,710000.00,No,No,Second-Hand Dwelling house /Apartment,
08/01/2018,"2 BETTYS TOWN AVE, HOWTH RD, RAHENY DUBLIN 5",Dublin 5,Dublin,515000.00,No,No,Second-Hand Dwelling house /Apartment,
08/01/2018,"2 MOUNT PROSPECT LAWNS, CLONTARF, DUBLIN 3",Dublin 3,Dublin,825000.00,No,No,Second-Hand Dwelling house /Apartment,
08/01/2018,"20 SHANDON PARK, PHIBSBOROUGH, DUBLIN 7",Dublin 7,Dublin,550000.00,No,No,Second-Hand Dwelling house /Apartment,
08/01/2018,"23 Elder Heath Grove, Elder Heath, Kiltipper Road",Dublin 24,Dublin,255600.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
08/01/2018,"3 KERRYMOUNT RISE, FOXROCK, DUBLIN 18",Dublin 18,Dublin,685000.00,No,No,Second-Hand Dwelling house /Apartment,
08/01/2018,"30 CLANCY RD, FINGLAS, DUBLIN 11",Dublin 11,Dublin,350000.00,No,No,Second-Hand Dwelling house /Apartment,
08/01/2018,"33 Birch House, Silverbanks, Baldoyle",Dublin 13,Dublin,149780.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
08/01/2018,"333 TEMPLEOGUE RD, TEMPLEOGUE, DUBLIN 6W",,Dublin,920000.00,No,No,Second-Hand Dwelling house /Apartment,
08/01/2018,"36 BEAUMONT AVE, CHURCHTOWN, DUBLIN 14",Dublin 14,Dublin,455000.00,No,No,Second-Hand Dwelling house /Apartment,
08/01/2018,"37 LANESBOROUGH COURT, FINGLAS, DUBLIN 11",Dublin 11,Dublin,200000.00,No,No,Second-Hand Dwelling house /Apartment,
08/01/2018,"38 GALTRIM GRANGE, BROOMFIELD, MALAHIDE",,Dublin,410000.00,No,No,Second-Hand Dwelling house /Apartment,
08/01/2018,"410 GALTYMORE RD, DRIMNAGH, DUBLIN 12",Dublin 12,Dublin,310000.00,No,No,Second-Hand Dwelling house /Apartment,
08/01/2018,"48 HARCOURT LODGE, SOUTHERN CROSS AVE, INCHICORE DUBLIN 8",Dublin 8,Dublin,345000.00,No,No,Second-Hand Dwelling house /Apartment,
08/01/2018,"54 EAGLEWOOD, ROCHESTOWN AVE, DUN LAOGHAIRE",,Dublin,380000.00,No,No,Second-Hand Dwelling house /Apartment,
08/01/2018,"66 BEECHWOOD LAWNS, RATHCOOLE, DUBLIN 24",Dublin 24,Dublin,354000.00,No,No,Second-Hand Dwelling house /Apartment,
08/01/2018,"79 KILCRONAN AVE, CLONDALKIN, DUBLIN 22",Dublin 22,Dublin,217000.00,No,No,Second-Hand Dwelling house /Apartment,
08/01/2018,"8 CUIL DUIN ROW, CUIL DUIN, CITY WEST",,Dublin,246696.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
08/01/2018,"8 Grace Park Way, Grace Park Wood, Grace Park Road",Dublin 9,Dublin,418502.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
08/01/2018,"89 BANNOW RD, CABRA WEST, DUBLIN 7",Dublin 7,Dublin,299950.00,No,No,Second-Hand Dwelling house /Apartment,
08/01/2018,"93 CARNLOUGH RD, CABRA RD, CABRA DUBLIN 7",Dublin 7,Dublin,230000.00,No,No,Second-Hand Dwelling house /Apartment,
08/01/2018,"APT 11 ST PETERS SQ, PHIBSBORO PLACE, PHIBSBORO DUBLIN 7",Dublin 7,Dublin,207500.00,No,No,Second-Hand Dwelling house /Apartment,
08/01/2018,"APT 18, EATON GREEN, MAIN ST",Dublin 24,Dublin,212000.00,No,No,Second-Hand Dwelling house /Apartment,
08/01/2018,"APT 75, WYCKHAM PLACE, WYCKHAM WAY DUBLIN 16",Dublin 16,Dublin,382500.00,No,No,Second-Hand Dwelling house /Apartment,
08/01/2018,"Brookwood Lodge, Glenamuck Road South, Carrickmines",Dublin 18,Dublin,792951.54,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
08/01/2018,"COOLMANAGH, 75CARRICKBREAC RD, BAILY DUBLIN 13",Dublin 13,Dublin,1620000.00,No,No,Second-Hand Dwelling house /Apartment,
08/01/2018,"MEADOWBROOK, INCH ROAD, BALROTHERY",,Dublin,485000.00,No,No,Second-Hand Dwelling house /Apartment,
08/01/2018,"MOUNTEAGLE HOUSE, KILGOBBIN RD, SANDYFORD DUBLIN 18",Dublin 18,Dublin,1675000.00,No,No,Second-Hand Dwelling house /Apartment,
08/01/2018,"PRAGUE, JOHNSTOWN COURT, DUN LAOGHAIRE",,Dublin,2020000.00,No,No,Second-Hand Dwelling house /Apartment,
08/01/2018,"SEASPRAY, NEWTOWNSMITH, SANDYCOVE",,Dublin,1560000.00,No,No,Second-Hand Dwelling house /Apartment,
08/01/2018,"WOODVILLE, BELINSTOWN, BALLYBOUGHAL",,Dublin,500000.00,No,No,Second-Hand Dwelling house /Apartment,
09/01/2018,"1 ORCHARD RD, OFF CLONIFF RD, BALLYBOUGH",Dublin 3,Dublin,210000.00,No,No,Second-Hand Dwelling house /Apartment,
09/01/2018,"1 The Way, Citywest Village, Citywest",Dublin 24,Dublin,286343.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
09/01/2018,"131 VERDEMONT, SNUGBOROUGH RD, BLANCHARDSTOWN DUBLIN 15",Dublin 15,Dublin,225000.00,No,No,Second-Hand Dwelling house /Apartment,
09/01/2018,"14 KILBARRACK GROVE, KILBARRACK, DUBLIN 5",Dublin 5,Dublin,575000.00,No,No,Second-Hand Dwelling house /Apartment,
09/01/2018,"15 AILESBURY PARK, BALLSBRIDGE, DUBLIN 4",Dublin 4,Dublin,2500000.00,No,No,Second-Hand Dwelling house /Apartment,
09/01/2018,"17 WILLOW WOOD GREEN, HARTSTOWN, DUBLIN 15",Dublin 15,Dublin,277000.00,No,No,Second-Hand Dwelling house /Apartment,
09/01/2018,"19 Terenure Gate, Terenure, Dublin 6w",Dublin 6w,Dublin,691629.94,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
09/01/2018,"1A SARSFIELD ST, OFF BERKELEY RD, DUBLIN 7",,Dublin,200000.00,No,No,Second-Hand Dwelling house /Apartment,
09/01/2018,"1B SARSFILED ROAD, PHIBBSBOROUGH, DUBLIN 7",,Dublin,200000.00,No,No,Second-Hand Dwelling house /Apartment,
09/01/2018,"2 CLOISTER GATE, CARYSFORT AVE, BLACKROCK",,Dublin,570000.00,No,No,Second-Hand Dwelling house /Apartment,
09/01/2018,"2 MILLRACE WALK, SAGGART, DUBLIN",Dublin 24,Dublin,275000.00,No,No,Second-Hand Dwelling house /Apartment,
09/01/2018,"20 Birch House, Silverbanks, Baldoyle",,Dublin,145374.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
09/01/2018,"226 THE RICHMOND, NORTH BRUNSWICK ST, DUBLIN 7",Dublin 7,Dublin,320000.00,No,No,Second-Hand Dwelling house /Apartment,
09/01/2018,"23 Beechwood Gate, Beechwood, Hansfield",Dublin 15,Dublin,277533.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
09/01/2018,"26 Rathmill Green, Rathmill Manor, Rathcole",,Dublin,333920.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
09/01/2018,"3 The Lane, Millers Glen, Swords",,Dublin,405606.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
09/01/2018,"38 ST KEVINS PARK, DARTRY, DUBLIN 6",Dublin 6,Dublin,1650000.00,No,No,Second-Hand Dwelling house /Apartment,
09/01/2018,"40 ASHBROOK, HOWTH RD, CLONTARF DUBLIN 3",Dublin 3,Dublin,637500.00,No,No,Second-Hand Dwelling house /Apartment,
09/01/2018,"45 THE ROWAN, ROCKFIELD, DUNDRUM",Dublin 16,Dublin,350000.00,No,No,Second-Hand Dwelling house /Apartment,
09/01/2018,"57 MOUNT DRUMMOND SQ, HAROLDS CROSS, DUBLIN 6",Dublin 6,Dublin,482000.00,No,No,Second-Hand Dwelling house /Apartment,
09/01/2018,"7 ASHFIELD ROAD, RANELAGH, DUBLIN 6",,Dublin,1110000.00,No,No,Second-Hand Dwelling house /Apartment,
09/01/2018,"7 DodderBrook Avenue, Old Court Road, BALLYCULLEN DUBLIN 24",Dublin 24,Dublin,343612.32,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
09/01/2018,"95 THE GREEN, BEAUMONT WOODS, BEAUMONT DUBLIN 9",Dublin 9,Dublin,330000.00,No,No,Second-Hand Dwelling house /Apartment,
09/01/2018,"APT 37A, LANSDOWNE VALLEY, SLIEVEBLOOM RD DUBLIN 12",Dublin 12,Dublin,225000.00,No,No,Second-Hand Dwelling house /Apartment,
09/01/2018,"MILVERTON, SKERRIES, COUNTY DUBLIN",,Dublin,310000.00,No,No,Second-Hand Dwelling house /Apartment,
09/01/2018,"Unit 56  Block A, Orwell Gate, Marianella",Dublin 6,Dublin,660793.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
